YEAR,ACPR_CODE_2018,ACPR_NAME_2018,STATE,CARE_TYPE,total_admissions,pct_indigenous,pct_female,pct_cald
2024,306,Far North,QLD,Home care,1218,0.0,0.5935960591133005,0.15270935960591134
2024,306,Far North,QLD,Permanent residential care,768,0.0,0.52734375,0.10026041666666667
2024,306,Far North,QLD,Respite residential care,1129,0.0,0.5491585473870682,0.0983170947741364
2024,306,Far North,QLD,Short-term restorative care,297,0.0,0.5723905723905723,0.08417508417508418
2024,306,Far North,QLD,Transition care,155,0.0,0.535483870967742,0.05161290322580645
2024,307,Fitzroy,QLD,Home care,584,0.0,0.5821917808219178,0.04280821917808219
2024,307,Fitzroy,QLD,Permanent residential care,560,0.0,0.5571428571428572,0.039285714285714285
2024,307,Fitzroy,QLD,Respite residential care,269,0.0,0.5687732342007435,0.0037174721189591076
2024,307,Fitzroy,QLD,Short-term restorative care,102,0.0,0.6470588235294118,0.00980392156862745
2024,307,Fitzroy,QLD,Transition care,104,0.0,0.5576923076923077,0.057692307692307696
2024,308,Logan River Valley,QLD,Home care,487,0.0,0.6509240246406571,0.10472279260780287
2024,308,Logan River Valley,QLD,Permanent residential care,863,0.0,0.5990730011587485,0.0660486674391657
2024,308,Logan River Valley,QLD,Respite residential care,896,0.0,0.578125,0.06696428571428571
2024,309,Mackay,QLD,Home care,91,0.0,0.5824175824175825,0.04395604395604396
2024,309,Mackay,QLD,Permanent residential care,357,0.0,0.6302521008403361,0.05322128851540616
2024,309,Mackay,QLD,Respite residential care,237,0.0,0.5611814345991561,0.04219409282700422
2024,309,Mackay,QLD,Short-term restorative care,25,0.0,0.68,0.0
2024,309,Mackay,QLD,Transition care,97,0.0,0.6804123711340206,0.041237113402061855
2024,310,North West,QLD,Home care,12,0.0,0.5,0.0
2024,310,North West,QLD,Permanent residential care,4,0.0,0.5,0.0
2024,310,North West,QLD,Respite residential care,8,0.0,0.25,0.25
2024,311,Northern,QLD,Home care,3972,0.0,0.5901309164149043,0.05085599194360524
2024,311,Northern,QLD,Permanent residential care,759,0.0,0.5876152832674572,0.04743083003952569
2024,311,Northern,QLD,Respite residential care,429,0.0,0.5897435897435898,0.06993006993006994
2024,311,Northern,QLD,Short-term restorative care,13,0.0,0.5384615384615384,0.0
2024,311,Northern,QLD,Transition care,122,0.0,0.5983606557377049,0.03278688524590164
2024,312,South Coast,QLD,Home care,1059,0.0,0.5996222851746931,0.06421152030217187
