year,SA3_CODE_2021,SA3_NAME_2021,state,n_sa2s,total_pop,pop_65_plus,pct_65_plus
2025,30502,Brisbane Inner - East,Queensland,6,48286,4883,10.11
2023,30503,Brisbane Inner - North,Queensland,13,108240,11799,10.9
2024,30503,Brisbane Inner - North,Queensland,13,111024,12223,11.01
2025,30503,Brisbane Inner - North,Queensland,13,111024,12223,11.01
2023,30504,Brisbane Inner - West,Queensland,6,64473,6837,10.6
2024,30504,Brisbane Inner - West,Queensland,6,65676,7012,10.68
2025,30504,Brisbane Inner - West,Queensland,6,65676,7012,10.68
2023,30601,Cairns - North,Queensland,6,61525,9887,16.07
2024,30601,Cairns - North,Queensland,6,62644,10408,16.61
2025,30601,Cairns - North,Queensland,6,62644,10408,16.61
2023,30602,Cairns - South,Queensland,14,110135,17093,15.52
2024,30602,Cairns - South,Queensland,14,111695,17632,15.79
2025,30602,Cairns - South,Queensland,14,111695,17632,15.79
2023,30603,Innisfail - Cassowary Coast,Queensland,6,36348,8257,22.72
2024,30603,Innisfail - Cassowary Coast,Queensland,6,36814,8561,23.25
2025,30603,Innisfail - Cassowary Coast,Queensland,6,36814,8561,23.25
2023,30604,Port Douglas - Daintree,Queensland,2,12736,2704,21.23
2024,30604,Port Douglas - Daintree,Queensland,2,12974,2826,21.78
2025,30604,Port Douglas - Daintree,Queensland,2,12974,2826,21.78
2023,30605,Tablelands (East) - Kuranda,Queensland,5,44620,11090,24.85
2024,30605,Tablelands (East) - Kuranda,Queensland,5,45272,11509,25.42
2025,30605,Tablelands (East) - Kuranda,Queensland,5,45272,11509,25.42
2023,30701,Darling Downs (West) - Maranoa,Queensland,8,45329,8010,17.67
2024,30701,Darling Downs (West) - Maranoa,Queensland,8,45687,8357,18.29
2025,30701,Darling Downs (West) - Maranoa,Queensland,8,45687,8357,18.29
2023,30702,Darling Downs - East,Queensland,5,44291,9265,20.92
2024,30702,Darling Downs - East,Queensland,5,44607,9524,21.35
2025,30702,Darling Downs - East,Queensland,5,44607,9524,21.35
2023,30703,Granite Belt,Queensland,6,42854,11390,26.58
2024,30703,Granite Belt,Queensland,6,43323,11731,27.08
2025,30703,Granite Belt,Queensland,6,43323,11731,27.08
2023,30801,Central Highlands (Qld),Queensland,3,30050,3049,10.15
2024,30801,Central Highlands (Qld),Queensland,3,30434,3224,10.59
2025,30801,Central Highlands (Qld),Queensland,3,30434,3224,10.59
2023,30803,Rockhampton,Queensland,19,126409,22961,18.16
2024,30803,Rockhampton,Queensland,19,128183,23759,18.54
2025,30803,Rockhampton,Queensland,19,128183,23759,18.54
2023,30804,Biloela,Queensland,2,14917,2425,16.26
2024,30804,Biloela,Queensland,2,15053,2510,16.67
2025,30804,Biloela,Queensland,2,15053,2510,16.67
2023,30805,Gladstone,Queensland,10,66829,9774,14.63
2024,30805,Gladstone,Queensland,10,68065,10359,15.22
2025,30805,Gladstone,Queensland,10,68065,10359,15.22
2023,30901,Broadbeach - Burleigh,Queensland,6,70531,13469,19.1
2024,30901,Broadbeach - Burleigh,Queensland,6,72394,13926,19.24
2025,30901,Broadbeach - Burleigh,Queensland,6,72394,13926,19.24
2023,30902,Coolangatta,Queensland,5,60296,11893,19.72
2024,30902,Coolangatta,Queensland,5,61846,12049,19.48
2025,30902,Coolangatta,Queensland,5,61846,12049,19.48
2023,30903,Gold Coast - North,Queensland,6,72324,18954,26.21
2024,30903,Gold Coast - North,Queensland,6,73375,19211,26.18
2025,30903,Gold Coast - North,Queensland,6,73375,19211,26.18
2023,30904,Gold Coast Hinterland,Queensland,2,20965,4429,21.13
2024,30904,Gold Coast Hinterland,Queensland,2,21266,4591,21.59
2025,30904,Gold Coast Hinterland,Queensland,2,21266,4591,21.59
2023,30905,Mudgeeraba - Tallebudgera,Queensland,3,37480,5429,14.49
2024,30905,Mudgeeraba - Tallebudgera,Queensland,3,38104,5593,14.68
2025,30905,Mudgeeraba - Tallebudgera,Queensland,3,38104,5593,14.68
