sa3_code,sa3_name,n_facilities,n_residential,n_homecare,residential_places,homecare_places,n_nfp,n_government,n_private,year
50607.0,South Perth,14,10,4,1012.0,0.0,9,0,5,2025
50701.0,Cockburn,15,9,6,817.0,0.0,7,1,7,2025
50702.0,Fremantle,10,7,3,767.0,0.0,2,0,8,2025
50703.0,Kwinana,1,1,0,123.0,0.0,0,0,1,2025
50704.0,Melville,21,17,4,1418.0,0.0,6,0,15,2025
50705.0,Rockingham,14,8,6,765.0,0.0,10,0,4,2025
50901.0,Albany,22,13,7,582.0,38.0,10,6,6,2025
50902.0,Wheat Belt - North,28,18,10,369.0,55.0,11,16,1,2025
50903.0,Wheat Belt - South,10,8,2,202.0,9.0,3,6,1,2025
51001.0,Kimberley,15,4,8,190.0,44.0,12,3,0,2025
51002.0,East Pilbara,4,1,3,56.0,0.0,3,1,0,2025
51003.0,West Pilbara,3,1,1,30.0,15.0,3,0,0,2025
51101.0,Esperance,3,2,1,112.0,4.0,1,2,0,2025
51102.0,Gascoyne,2,2,0,42.0,6.0,0,2,0,2025
51103.0,Goldfields,8,5,3,121.0,4.0,5,3,0,2025
51104.0,Mid West,19,8,9,371.0,31.0,11,7,1,2025
60101.0,Brighton,1,1,0,80.0,0.0,1,0,0,2025
60102.0,Hobart - North East,13,6,6,611.0,0.0,11,0,2,2025
60103.0,Hobart - North West,20,7,11,638.0,0.0,13,0,7,2025
60104.0,Hobart - South and West,7,3,4,226.0,0.0,7,0,0,2025
60105.0,Hobart Inner,21,8,12,678.0,0.0,16,1,4,2025
60106.0,Sorell - Dodges Ferry,1,1,0,72.0,0.0,1,0,0,2025
60201.0,Launceston,26,13,10,1153.0,0.0,19,1,6,2025
60202.0,Meander Valley - West Tamar,3,3,0,124.0,1.0,2,1,0,2025
60203.0,North East,11,6,3,285.0,31.0,9,2,0,2025
60301.0,Central Highlands (Tas.),1,1,0,18.0,0.0,0,1,0,2025
60302.0,Huon - Bruny Island,5,2,3,105.0,0.0,5,0,0,2025
60303.0,South East Coast,4,2,2,78.0,6.0,4,0,0,2025
60401.0,Burnie - Ulverstone,10,6,3,580.0,0.0,7,1,2,2025
60402.0,Devonport,23,6,14,494.0,0.0,21,0,2,2025
60403.0,West Coast,5,3,2,97.0,0.0,2,3,0,2025
70101.0,Darwin City,9,1,6,85.0,75.0,8,1,0,2025
70102.0,Darwin Suburbs,8,2,4,161.0,0.0,3,2,3,2025
70104.0,Palmerston,1,1,0,88.0,0.0,1,0,0,2025
70201.0,Alice Springs,20,3,7,205.0,345.0,14,3,3,2025
70202.0,Barkly,3,0,1,25.0,95.0,2,1,0,2025
70203.0,Daly - Tiwi - West Arnhem,9,0,5,41.0,86.0,5,4,0,2025
70204.0,East Arnhem,6,1,3,36.0,14.0,3,3,0,2025
70205.0,Katherine,15,2,9,87.0,27.0,8,6,1,2025
80101.0,Belconnen,15,6,8,582.0,0.0,11,0,4,2025
80103.0,Canberra East,1,0,1,0.0,0.0,1,0,0,2025
80104.0,Gungahlin,4,0,4,0.0,0.0,3,0,1,2025
80105.0,North Canberra,11,4,7,343.0,0.0,9,0,2,2025
80106.0,South Canberra,17,4,12,465.0,0.0,13,0,4,2025
80107.0,Tuggeranong,3,3,0,395.0,0.0,3,0,0,2025
80108.0,Weston Creek,7,5,1,393.0,0.0,7,0,0,2025
80109.0,Woden Valley,11,5,4,574.0,0.0,8,1,2,2025
90104.0,Norfolk Island,2,1,1,14.0,20.0,1,1,0,2025
