sa3_code,sa3_name,year,permanent,respite,total_residential,hcp_level1,hcp_level2,hcp_level3,hcp_level4,total_homecare,total_users,hcp_high_needs,pct_hcp_high
11103.0,Newcastle,2025,1934.0,57.0,1991.0,171,801,595,455,2022,4013.0,1050,0.5192878338278932
11201.0,Richmond Valley - Coastal,2024,801.0,40.0,841.0,161,747,454,207,1569,2410.0,661,0.4212874442319949
11201.0,Richmond Valley - Coastal,2025,859.0,13.0,872.0,155,744,534,245,1678,2550.0,779,0.4642431466030989
11202.0,Richmond Valley - Hinterland,2024,561.0,13.0,574.0,99,661,368,212,1340,1914.0,580,0.43283582089552236
11202.0,Richmond Valley - Hinterland,2025,581.0,16.0,597.0,79,653,423,241,1396,1993.0,664,0.47564469914040114
11203.0,Tweed Valley,2024,1146.0,44.0,1190.0,202,1124,649,293,2268,3458.0,942,0.41534391534391535
11203.0,Tweed Valley,2025,1218.0,27.0,1245.0,172,1133,773,304,2382,3627.0,1077,0.4521410579345088
11301.0,Griffith - Murrumbidgee (West),2024,471.0,32.0,503.0,75,287,195,82,639,1142.0,277,0.433489827856025
11301.0,Griffith - Murrumbidgee (West),2025,470.0,29.0,499.0,60,303,198,74,635,1134.0,272,0.4283464566929134
11302.0,Tumut - Tumbarumba,2024,95.0,7.0,102.0,24,103,53,18,198,300.0,71,0.35858585858585856
11302.0,Tumut - Tumbarumba,2025,89.0,6.0,95.0,23,100,64,19,206,301.0,83,0.4029126213592233
11303.0,Wagga Wagga,2024,818.0,47.0,865.0,132,753,483,229,1597,2462.0,712,0.445835942391985
11303.0,Wagga Wagga,2025,871.0,44.0,915.0,114,698,490,197,1499,2414.0,687,0.45830553702468313
11401.0,Shoalhaven,2024,1115.0,50.0,1165.0,128,647,531,208,1514,2679.0,739,0.48811096433289297
11401.0,Shoalhaven,2025,1143.0,37.0,1180.0,110,564,641,245,1560,2740.0,886,0.5679487179487179
11402.0,Southern Highlands,2024,560.0,47.0,607.0,26,160,125,39,350,957.0,164,0.4685714285714286
11402.0,Southern Highlands,2025,598.0,28.0,626.0,20,138,124,36,318,944.0,160,0.5031446540880503
11501.0,Baulkham Hills,2024,1693.0,73.0,1766.0,127,537,385,175,1224,2990.0,560,0.45751633986928103
11501.0,Baulkham Hills,2025,1758.0,60.0,1818.0,106,530,408,197,1241,3059.0,605,0.48751007252215955
11502.0,Dural - Wisemans Ferry,2024,327.0,15.0,342.0,24,104,62,37,227,569.0,99,0.43612334801762115
11502.0,Dural - Wisemans Ferry,2025,337.0,21.0,358.0,19,96,76,36,227,585.0,112,0.4933920704845815
11503.0,Hawkesbury,2024,33.0,1.0,34.0,2,44,39,22,107,141.0,61,0.5700934579439252
11503.0,Hawkesbury,2025,34.0,0.0,34.0,1,39,54,23,117,151.0,77,0.6581196581196581
11504.0,Rouse Hill - McGraths Hill,2024,106.0,6.0,112.0,15,69,57,45,186,298.0,102,0.5483870967741935
11504.0,Rouse Hill - McGraths Hill,2025,104.0,9.0,113.0,13,88,65,45,211,324.0,110,0.5213270142180095
11601.0,Blacktown,2024,726.0,54.0,780.0,90,599,480,192,1361,2141.0,672,0.4937545922116091
11601.0,Blacktown,2025,768.0,26.0,794.0,93,554,513,212,1372,2166.0,725,0.5284256559766763
11602.0,Blacktown - North,2024,293.0,19.0,312.0,67,265,161,101,594,906.0,262,0.44107744107744107
11602.0,Blacktown - North,2025,350.0,23.0,373.0,62,286,181,98,627,1000.0,279,0.4449760765550239
11603.0,Mount Druitt,2024,660.0,44.0,704.0,69,446,322,144,981,1685.0,466,0.4750254841997961
11603.0,Mount Druitt,2025,713.0,39.0,752.0,62,437,350,172,1021,1773.0,522,0.5112634671890304
11701.0,Botany,2024,151.0,5.0,156.0,26,221,163,81,491,647.0,244,0.4969450101832994
11701.0,Botany,2025,152.0,4.0,156.0,22,205,230,88,545,701.0,318,0.5834862385321101
11702.0,Marrickville - Sydenham - Petersham,2024,283.0,21.0,304.0,9,163,174,96,442,746.0,270,0.6108597285067874
11702.0,Marrickville - Sydenham - Petersham,2025,292.0,11.0,303.0,9,129,189,114,441,744.0,303,0.6870748299319728
11703.0,Sydney Inner City,2024,620.0,34.0,654.0,78,586,482,190,1336,1990.0,672,0.5029940119760479
11703.0,Sydney Inner City,2025,647.0,26.0,673.0,60,536,516,222,1334,2007.0,738,0.553223388305847
11801.0,Eastern Suburbs - North,2024,856.0,70.0,926.0,63,349,255,156,823,1749.0,411,0.4993924665856622
11801.0,Eastern Suburbs - North,2025,887.0,47.0,934.0,50,325,315,162,852,1786.0,477,0.5598591549295775
11802.0,Eastern Suburbs - South,2024,980.0,74.0,1054.0,74,574,421,205,1274,2328.0,626,0.4913657770800628
11802.0,Eastern Suburbs - South,2025,1003.0,56.0,1059.0,68,528,481,251,1328,2387.0,732,0.5512048192771084
11901.0,Bankstown,2024,1498.0,107.0,1605.0,261,1062,644,277,2244,3849.0,921,0.410427807486631
11901.0,Bankstown,2025,1579.0,80.0,1659.0,202,1005,825,340,2372,4031.0,1165,0.4911467116357504
