sa3_code,sa3_name,state,year,total_pop,pop_65_plus
12001,Canada Bay,NSW,2021,87181.0,14729.0
12001,Canada Bay,NSW,2022,86738.0,14930.0
12001,Canada Bay,NSW,2023,88729.0,15313.0
12001,Canada Bay,NSW,2024,89946.0,15746.0
12002,Leichhardt,NSW,2019,59033.0,7750.0
12002,Leichhardt,NSW,2020,58518.0,7992.0
12002,Leichhardt,NSW,2021,56653.0,8047.0
12002,Leichhardt,NSW,2022,56277.0,8113.0
12002,Leichhardt,NSW,2023,57417.0,8261.0
12002,Leichhardt,NSW,2024,58273.0,8597.0
12003,Strathfield - Burwood - Ashfield,NSW,2019,165477.0,21771.0
12003,Strathfield - Burwood - Ashfield,NSW,2020,165638.0,22442.0
12003,Strathfield - Burwood - Ashfield,NSW,2021,162611.0,22792.0
12003,Strathfield - Burwood - Ashfield,NSW,2022,163127.0,23131.0
12003,Strathfield - Burwood - Ashfield,NSW,2023,168612.0,23363.0
12003,Strathfield - Burwood - Ashfield,NSW,2024,172236.0,23868.0
12101,Chatswood - Lane Cove,NSW,2019,120918.0,17062.0
12101,Chatswood - Lane Cove,NSW,2020,121009.0,17621.0
12101,Chatswood - Lane Cove,NSW,2021,118072.0,17624.0
12101,Chatswood - Lane Cove,NSW,2022,118130.0,17789.0
12101,Chatswood - Lane Cove,NSW,2023,121928.0,18201.0
12101,Chatswood - Lane Cove,NSW,2024,124750.0,18720.0
12102,Hornsby,NSW,2019,87762.0,12715.0
12102,Hornsby,NSW,2020,88651.0,13257.0
12102,Hornsby,NSW,2021,87691.0,13546.0
12102,Hornsby,NSW,2022,87903.0,13841.0
12102,Hornsby,NSW,2023,89638.0,14215.0
12102,Hornsby,NSW,2024,90755.0,14592.0
12103,Ku-ring-gai,NSW,2019,126682.0,22797.0
12103,Ku-ring-gai,NSW,2020,126760.0,23371.0
12103,Ku-ring-gai,NSW,2021,124990.0,23752.0
12103,Ku-ring-gai,NSW,2022,124500.0,23899.0
12103,Ku-ring-gai,NSW,2023,127328.0,24435.0
12103,Ku-ring-gai,NSW,2024,128989.0,24800.0
12104,North Sydney - Mosman,NSW,2019,99766.0,16873.0
12104,North Sydney - Mosman,NSW,2020,98479.0,17292.0
12104,North Sydney - Mosman,NSW,2021,95419.0,17366.0
12104,North Sydney - Mosman,NSW,2022,94887.0,17775.0
12104,North Sydney - Mosman,NSW,2023,98494.0,18295.0
12104,North Sydney - Mosman,NSW,2024,99529.0,18670.0
12201,Manly,NSW,2019,44889.0,6863.0
12201,Manly,NSW,2020,44638.0,6998.0
12201,Manly,NSW,2021,43590.0,6698.0
12201,Manly,NSW,2022,43342.0,6758.0
12201,Manly,NSW,2023,44483.0,6943.0
12201,Manly,NSW,2024,45173.0,7087.0
12202,Pittwater,NSW,2019,64066.0,13256.0
12202,Pittwater,NSW,2020,64024.0,13708.0
12202,Pittwater,NSW,2021,63581.0,14002.0
12202,Pittwater,NSW,2022,63221.0,14193.0
12202,Pittwater,NSW,2023,64000.0,14490.0
12202,Pittwater,NSW,2024,64366.0,14895.0
12203,Warringah,NSW,2019,159980.0,25969.0
12203,Warringah,NSW,2020,159502.0,26339.0
12203,Warringah,NSW,2021,157396.0,26416.0
12203,Warringah,NSW,2022,156777.0,26467.0
12203,Warringah,NSW,2023,159416.0,26912.0
12203,Warringah,NSW,2024,161233.0,27236.0
