sa3_code,sa3_name,year,residential_users,home_care_users,total_users
21502,Mildura,2023,535,1060,1595
21502,Mildura,2024,547,1107,1654
21502,Mildura,2025,565,1029,1594
21503,Murray River - Swan Hill,2023,461,400,861
21503,Murray River - Swan Hill,2024,451,415,866
21503,Murray River - Swan Hill,2025,459,502,961
21601,Campaspe,2023,479,587,1066
21601,Campaspe,2024,474,604,1078
21601,Campaspe,2025,503,633,1136
21602,Moira,2023,361,382,743
21602,Moira,2024,368,386,754
21602,Moira,2025,384,362,746
21603,Shepparton,2023,658,544,1202
21603,Shepparton,2024,672,613,1285
21603,Shepparton,2025,687,598,1285
21701,Glenelg - Southern Grampians,2023,406,750,1156
21701,Glenelg - Southern Grampians,2024,451,779,1230
21701,Glenelg - Southern Grampians,2025,480,786,1266
21703,Colac - Corangamite,2023,346,512,858
21703,Colac - Corangamite,2024,355,521,876
21703,Colac - Corangamite,2025,359,549,908
21704,Warrnambool,2023,514,957,1471
21704,Warrnambool,2024,534,953,1487
21704,Warrnambool,2025,532,969,1501
30101,Capalaba,2023,596,454,1050
30101,Capalaba,2024,615,489,1104
30101,Capalaba,2025,554,566,1120
30102,Cleveland - Stradbroke,2023,898,1042,1940
30102,Cleveland - Stradbroke,2024,946,1174,2120
30102,Cleveland - Stradbroke,2025,956,1275,2231
30103,Wynnum - Manly,2023,474,458,932
30103,Wynnum - Manly,2024,468,484,952
30103,Wynnum - Manly,2025,469,518,987
30201,Bald Hills - Everton Park,2023,480,368,848
30201,Bald Hills - Everton Park,2024,494,392,886
30201,Bald Hills - Everton Park,2025,488,399,887
30202,Chermside,2023,709,753,1462
30202,Chermside,2024,706,774,1480
30202,Chermside,2025,705,819,1524
30203,Nundah,2023,303,316,619
30203,Nundah,2024,310,351,661
30203,Nundah,2025,310,356,666
30204,Sandgate,2023,684,599,1283
30204,Sandgate,2024,685,636,1321
30204,Sandgate,2025,705,677,1382
30301,Carindale,2023,456,361,817
30301,Carindale,2024,451,373,824
30301,Carindale,2025,457,388,845
30302,Holland Park - Yeronga,2023,666,497,1163
30302,Holland Park - Yeronga,2024,670,485,1155
30302,Holland Park - Yeronga,2025,668,517,1185
30303,Mt Gravatt,2023,632,582,1214
30303,Mt Gravatt,2024,661,615,1276
30303,Mt Gravatt,2025,667,651,1318
30304,Nathan,2023,117,281,398
30304,Nathan,2024,121,300,421
30304,Nathan,2025,130,352,482
30305,Rocklea - Acacia Ridge,2023,625,362,987
30305,Rocklea - Acacia Ridge,2024,664,382,1046
30305,Rocklea - Acacia Ridge,2025,668,448,1116
30306,Sunnybank,2023,348,441,789
30306,Sunnybank,2024,360,480,840
30306,Sunnybank,2025,352,548,900
30401,Centenary,2023,436,257,693
30401,Centenary,2024,445,278,723
30401,Centenary,2025,439,288,727
30402,Kenmore - Brookfield - Moggill,2023,444,315,759
30402,Kenmore - Brookfield - Moggill,2024,443,317,760
30402,Kenmore - Brookfield - Moggill,2025,447,326,773
30403,Sherwood - Indooroopilly,2023,346,270,616
