SA3_CODE_2021,snapshot_year,sa3_name,state,mmm_code,n_facilities,overall_rating,quality_score,residents_exp,staffing,compliance,quality_measures,rn_mins_actual,total_mins_actual
31002,2025,Ipswich Hinterland,QLD,MM2,6,4.0,3.75,3.5,3.0,4.75,3.75,47.75,215.0
31003,2023,Ipswich Inner,QLD,MM1,9,3.667,3.5,3.556,2.222,4.889,3.333,,
31003,2024,Ipswich Inner,QLD,MM1,9,3.556,3.694,3.222,2.889,5.0,3.667,42.333,209.222
31003,2025,Ipswich Inner,QLD,MM1,9,4.0,3.792,3.833,3.0,5.0,3.333,47.5,222.167
31101,2023,Beaudesert,QLD,MM4,2,3.5,3.5,3.5,2.5,4.5,3.5,,
31101,2024,Beaudesert,QLD,MM4,2,4.0,3.75,4.0,2.5,5.0,3.5,37.0,207.5
31101,2025,Beaudesert,QLD,MM4,2,4.0,3.75,3.5,3.0,5.0,3.5,47.0,217.5
31102,2023,Beenleigh,QLD,MM1,3,3.333,3.667,3.333,2.667,5.0,3.667,,
31102,2024,Beenleigh,QLD,MM1,3,3.667,3.583,3.0,2.333,5.0,4.0,37.0,197.333
31102,2025,Beenleigh,QLD,MM1,3,4.0,4.083,4.0,3.333,5.0,4.0,47.333,222.0
31103,2023,Browns Plains,QLD,MM1,5,3.4,3.3,3.2,2.0,4.6,3.4,,
31103,2024,Browns Plains,QLD,MM1,5,3.8,3.7,3.2,3.0,4.8,3.8,43.6,210.8
31103,2025,Browns Plains,QLD,MM1,5,4.0,3.65,3.4,3.0,5.0,3.2,47.2,221.2
31104,2023,Jimboomba,QLD,MM2,1,3.0,3.0,4.0,2.0,4.0,2.0,,
31104,2024,Jimboomba,QLD,MM2,1,,,,,,,0.0,0.0
31104,2025,Jimboomba,QLD,MM2,1,4.0,3.5,4.0,3.0,4.0,3.0,46.0,207.0
31105,2023,Loganlea - Carbrook,QLD,MM1,6,3.0,2.917,3.167,2.167,3.667,2.667,,
31105,2024,Loganlea - Carbrook,QLD,MM1,7,3.667,3.5,3.333,2.833,4.5,3.333,40.143,203.0
31105,2025,Loganlea - Carbrook,QLD,MM1,7,4.0,3.75,3.8,3.0,4.6,3.6,46.4,220.2
31106,2023,Springwood - Kingston,QLD,MM1,5,3.8,3.6,3.6,2.2,4.8,3.8,,
31106,2024,Springwood - Kingston,QLD,MM1,5,3.6,3.45,3.0,2.2,4.8,3.8,39.0,197.4
31106,2025,Springwood - Kingston,QLD,MM1,5,4.0,3.812,3.75,2.75,5.0,3.75,45.75,209.75
31201,2023,Bowen Basin - North,QLD,MM4,3,3.667,3.583,3.667,2.333,4.667,3.667,,
31201,2024,Bowen Basin - North,QLD,MM4,2,4.0,3.75,3.5,3.0,5.0,3.5,44.0,214.0
31201,2025,Bowen Basin - North,QLD,MM4,2,4.5,4.375,4.5,3.0,5.0,5.0,44.0,217.0
31202,2023,Mackay,QLD,MM2,8,3.286,3.214,3.857,2.143,4.143,2.714,,
31202,2024,Mackay,QLD,MM2,9,3.556,3.361,3.333,2.667,4.444,3.0,41.778,196.333
31202,2025,Mackay,QLD,MM2,9,3.857,3.679,3.857,3.143,4.429,3.286,47.571,207.0
31203,2023,Whitsunday,QLD,MM5,1,4.0,4.0,3.0,3.0,5.0,5.0,,
