acpr_code,acpr_name,state,year,total_users,n_permanent,n_respite,n_indigenous,n_male,n_female,n_nesb,n_english_speaking,n_age_0_49,n_age_50_54,n_age_55_59,n_age_60_64,n_age_65_69,n_age_70_74,n_age_75_79,n_age_80_84,n_age_85_89,n_age_90_94,n_age_95_99,n_age_100_plus
316.0,Wide Bay,Qld,2020,2290,2193,97,42,819,1471,122,228,1,7,16,33,77,165,307,426,554,481,203,20
401.0,Eyre Peninsula,SA,2020,273,253,20,4,95,178,26,52,1,5,2,8,11,14,31,67,56,52,24,2
402.0,"Hills, Mallee & Southern",SA,2020,1411,1355,56,6,449,962,111,217,0,3,6,11,33,91,146,235,340,345,173,28
403.0,Metropolitan East,SA,2020,2744,2629,115,3,818,1926,591,312,1,2,14,23,69,140,260,397,678,762,339,59
404.0,Metropolitan North,SA,2020,3230,3084,146,19,1091,2139,668,727,5,3,18,42,123,263,380,579,803,692,278,44
405.0,Metropolitan South,SA,2020,3857,3720,137,13,1203,2654,453,686,4,4,16,50,132,234,389,573,922,986,472,75
406.0,Metropolitan West,SA,2020,2703,2574,129,16,932,1771,925,252,3,4,14,37,100,173,241,475,688,617,301,50
407.0,Mid North,SA,2020,326,313,13,2,99,227,13,16,0,3,1,6,9,22,36,66,76,71,31,5
408.0,Riverland,SA,2020,373,359,14,2,127,246,43,26,1,1,1,9,16,37,41,74,82,84,25,2
409.0,South East,SA,2020,612,579,33,3,186,426,39,40,0,1,3,4,20,48,69,104,155,151,48,9
410.0,Flinders & Far North,SA,2020,100,93,7,10,36,64,4,8,0,0,1,1,3,10,13,17,30,20,4,1
411.0,"Yorke, Lower North & Barossa",SA,2020,1253,1184,69,9,395,858,58,151,5,3,8,14,42,86,134,221,275,318,126,21
501.0,Goldfields,WA,2020,209,207,2,34,65,144,19,25,0,3,2,5,8,30,32,38,44,33,14,0
502.0,Great Southern,WA,2020,400,392,8,5,122,278,36,79,0,1,3,6,11,25,54,73,90,95,35,7
503.0,Kimberley,WA,2020,102,91,11,75,46,56,2,2,4,6,3,9,10,12,13,19,12,8,6,0
504.0,Metropolitan East,WA,2020,2363,2323,40,18,835,1528,585,526,2,6,15,49,128,205,292,424,525,488,201,28
505.0,Metropolitan North,WA,2020,4499,4434,65,13,1431,3068,966,1027,2,8,15,42,133,275,438,802,1094,1095,517,78
