YEAR,ACPR_CODE_2018,ACPR_NAME_2018,CARE_TYPE,INDIGENOUS_STATUS,count
2024,107,Mid North Coast,Short-term restorative care,Non-Indigenous,167
2024,107,Mid North Coast,Short-term restorative care,Unknown,91
2024,107,Mid North Coast,Transition care,Indigenous,13
2024,107,Mid North Coast,Transition care,Non-Indigenous,276
2024,107,Mid North Coast,Transition care,Unknown,102
2024,108,Nepean,Home care,Indigenous,15
2024,108,Nepean,Home care,Non-Indigenous,650
2024,108,Nepean,Home care,Unknown,73
2024,108,Nepean,Permanent residential care,Indigenous,18
2024,108,Nepean,Permanent residential care,Non-Indigenous,694
2024,108,Nepean,Permanent residential care,Unknown,154
2024,108,Nepean,Respite residential care,Indigenous,20
2024,108,Nepean,Respite residential care,Non-Indigenous,816
2024,108,Nepean,Respite residential care,Unknown,190
2024,108,Nepean,Transition care,Indigenous,6
2024,108,Nepean,Transition care,Non-Indigenous,110
2024,108,Nepean,Transition care,Unknown,73
2024,109,New England,Home care,Indigenous,38
2024,109,New England,Home care,Non-Indigenous,367
2024,109,New England,Home care,Unknown,58
2024,109,New England,Permanent residential care,Indigenous,22
2024,109,New England,Permanent residential care,Non-Indigenous,543
2024,109,New England,Permanent residential care,Unknown,110
2024,109,New England,Respite residential care,Indigenous,40
2024,109,New England,Respite residential care,Non-Indigenous,619
2024,109,New England,Respite residential care,Unknown,137
2024,109,New England,Short-term restorative care,Indigenous,3
2024,109,New England,Short-term restorative care,Non-Indigenous,71
2024,109,New England,Short-term restorative care,Unknown,33
2024,109,New England,Transition care,Indigenous,12
2024,109,New England,Transition care,Non-Indigenous,235
2024,109,New England,Transition care,Unknown,101
2024,110,Northern Sydney,Home care,Indigenous,40
2024,110,Northern Sydney,Home care,Non-Indigenous,2953
2024,110,Northern Sydney,Home care,Unknown,296
2024,110,Northern Sydney,Permanent residential care,Indigenous,2
2024,110,Northern Sydney,Permanent residential care,Non-Indigenous,2357
2024,110,Northern Sydney,Permanent residential care,Unknown,351
2024,110,Northern Sydney,Respite residential care,Indigenous,8
2024,110,Northern Sydney,Respite residential care,Non-Indigenous,3808
2024,110,Northern Sydney,Respite residential care,Unknown,627
2024,110,Northern Sydney,Short-term restorative care,Indigenous,1
2024,110,Northern Sydney,Short-term restorative care,Non-Indigenous,137
2024,110,Northern Sydney,Short-term restorative care,Unknown,33
2024,110,Northern Sydney,Transition care,Non-Indigenous,251
2024,110,Northern Sydney,Transition care,Unknown,69
2024,111,Orana Far West,Home care,Indigenous,50
2024,111,Orana Far West,Home care,Non-Indigenous,312
2024,111,Orana Far West,Home care,Unknown,37
2024,111,Orana Far West,Permanent residential care,Indigenous,19
2024,111,Orana Far West,Permanent residential care,Non-Indigenous,396
2024,111,Orana Far West,Permanent residential care,Unknown,56
2024,111,Orana Far West,Respite residential care,Indigenous,30
2024,111,Orana Far West,Respite residential care,Non-Indigenous,630
2024,111,Orana Far West,Respite residential care,Unknown,75
2024,111,Orana Far West,Short-term restorative care,Indigenous,7
2024,111,Orana Far West,Short-term restorative care,Non-Indigenous,16
2024,111,Orana Far West,Short-term restorative care,Unknown,14
2024,111,Orana Far West,Transition care,Non-Indigenous,8
2024,112,Riverina/Murray,Home care,Indigenous,49
2024,112,Riverina/Murray,Home care,Non-Indigenous,1906
2024,112,Riverina/Murray,Home care,Unknown,396
2024,112,Riverina/Murray,Permanent residential care,Indigenous,14
2024,112,Riverina/Murray,Permanent residential care,Non-Indigenous,869
2024,112,Riverina/Murray,Permanent residential care,Unknown,133
2024,112,Riverina/Murray,Respite residential care,Indigenous,20
2024,112,Riverina/Murray,Respite residential care,Non-Indigenous,1280
2024,112,Riverina/Murray,Respite residential care,Unknown,190
2024,112,Riverina/Murray,Short-term restorative care,Indigenous,1
2024,112,Riverina/Murray,Short-term restorative care,Non-Indigenous,18
2024,112,Riverina/Murray,Short-term restorative care,Unknown,6
2024,112,Riverina/Murray,Transition care,Indigenous,10
2024,112,Riverina/Murray,Transition care,Non-Indigenous,282
2024,112,Riverina/Murray,Transition care,Unknown,152
2024,113,South East Sydney,Home care,Indigenous,109
2024,113,South East Sydney,Home care,Non-Indigenous,4476
2024,113,South East Sydney,Home care,Unknown,403
2024,113,South East Sydney,Permanent residential care,Indigenous,21
2024,113,South East Sydney,Permanent residential care,Non-Indigenous,2348
2024,113,South East Sydney,Permanent residential care,Unknown,321
2024,113,South East Sydney,Respite residential care,Indigenous,35
2024,113,South East Sydney,Respite residential care,Non-Indigenous,4044
2024,113,South East Sydney,Respite residential care,Unknown,574
2024,113,South East Sydney,Short-term restorative care,Indigenous,2
2024,113,South East Sydney,Short-term restorative care,Non-Indigenous,108
2024,113,South East Sydney,Short-term restorative care,Unknown,35
2024,113,South East Sydney,Transition care,Indigenous,6
2024,113,South East Sydney,Transition care,Non-Indigenous,522
2024,113,South East Sydney,Transition care,Unknown,75
2024,114,South West Sydney,Home care,Indigenous,48
2024,114,South West Sydney,Home care,Non-Indigenous,2200
2024,114,South West Sydney,Home care,Unknown,215
2024,114,South West Sydney,Permanent residential care,Indigenous,30
2024,114,South West Sydney,Permanent residential care,Non-Indigenous,1981
